ID;City;Dayofweek;Visit#Dayofweek;Year;Weekday#end
344625;Cần Thơ;Monday;4;2018;Weekdays
345343;Cần Thơ;Monday;4;2018;Weekdays
346249;Cần Thơ;Monday;4;2018;Weekdays
346725;Cần Thơ;Monday;4;2018;Weekdays
346833;Cần Thơ;Monday;4;2018;Weekdays
346925;Cần Thơ;Monday;4;2018;Weekdays
347591;Cần Thơ;Monday;4;2018;Weekdays
347593;Cần Thơ;Monday;4;2018;Weekdays
347594;Cần Thơ;Monday;4;2018;Weekdays
348220;Cần Thơ;Monday;4;2018;Weekdays
348221;Cần Thơ;Monday;4;2018;Weekdays
348222;Cần Thơ;Monday;4;2018;Weekdays
348306;Cần Thơ;Monday;4;2018;Weekdays
348307;Cần Thơ;Monday;4;2018;Weekdays
348309;Cần Thơ;Monday;4;2018;Weekdays
348312;Cần Thơ;Monday;4;2018;Weekdays
348321;Cần Thơ;Monday;4;2018;Weekdays
348327;Cần Thơ;Monday;4;2018;Weekdays
357024;Cần Thơ;Monday;4;2018;Weekdays
357580;Cần Thơ;Monday;4;2018;Weekdays
358030;Cần Thơ;Monday;4;2018;Weekdays
358031;Cần Thơ;Monday;4;2018;Weekdays
358095;Cần Thơ;Monday;4;2018;Weekdays
358230;Cần Thơ;Monday;4;2018;Weekdays
358404;Cần Thơ;Monday;4;2018;Weekdays
358808;Cần Thơ;Monday;4;2018;Weekdays
358809;Cần Thơ;Monday;4;2018;Weekdays
358930;Cần Thơ;Monday;4;2018;Weekdays
358960;Cần Thơ;Monday;4;2018;Weekdays
358962;Cần Thơ;Monday;4;2018;Weekdays
358963;Cần Thơ;Monday;4;2018;Weekdays
359041;Cần Thơ;Monday;4;2018;Weekdays
359144;Cần Thơ;Monday;4;2018;Weekdays
359149;Cần Thơ;Monday;4;2018;Weekdays
359150;Cần Thơ;Monday;4;2018;Weekdays
359151;Cần Thơ;Monday;4;2018;Weekdays
359183;Cần Thơ;Monday;4;2018;Weekdays
359383;Cần Thơ;Monday;4;2018;Weekdays
359563;Cần Thơ;Monday;4;2018;Weekdays
359564;Cần Thơ;Monday;4;2018;Weekdays
359566;Cần Thơ;Monday;4;2018;Weekdays
360106;Cần Thơ;Monday;4;2018;Weekdays
360355;Cần Thơ;Monday;4;2018;Weekdays
360588;Cần Thơ;Monday;4;2018;Weekdays
360730;Cần Thơ;Monday;4;2018;Weekdays
360732;Cần Thơ;Monday;4;2018;Weekdays
360734;Cần Thơ;Monday;4;2018;Weekdays
360737;Cần Thơ;Monday;4;2018;Weekdays
361006;Cần Thơ;Monday;4;2018;Weekdays
361518;Cần Thơ;Monday;4;2018;Weekdays
361519;Cần Thơ;Monday;4;2018;Weekdays
361791;Cần Thơ;Monday;4;2018;Weekdays
361793;Cần Thơ;Monday;4;2018;Weekdays
361794;Cần Thơ;Monday;4;2018;Weekdays
362007;Cần Thơ;Monday;4;2018;Weekdays
362008;Cần Thơ;Monday;4;2018;Weekdays
362270;Cần Thơ;Monday;4;2018;Weekdays
362512;Cần Thơ;Monday;4;2018;Weekdays
362667;Cần Thơ;Monday;4;2018;Weekdays
362711;Cần Thơ;Monday;4;2018;Weekdays
363279;Cần Thơ;Monday;4;2018;Weekdays
363406;Cần Thơ;Monday;4;2018;Weekdays
363785;Cần Thơ;Monday;4;2018;Weekdays
365304;Cần Thơ;Monday;4;2018;Weekdays
365525;Cần Thơ;Monday;4;2018;Weekdays
365734;Cần Thơ;Monday;4;2018;Weekdays
365737;Cần Thơ;Monday;4;2018;Weekdays
365739;Cần Thơ;Monday;4;2018;Weekdays
365744;Cần Thơ;Monday;4;2018;Weekdays
366024;Cần Thơ;Monday;4;2018;Weekdays
366212;Cần Thơ;Monday;4;2018;Weekdays
366395;Cần Thơ;Monday;4;2018;Weekdays
366447;Cần Thơ;Monday;4;2018;Weekdays
366448;Cần Thơ;Monday;4;2018;Weekdays
366450;Cần Thơ;Monday;4;2018;Weekdays
366452;Cần Thơ;Monday;4;2018;Weekdays
366453;Cần Thơ;Monday;4;2018;Weekdays
366454;Cần Thơ;Monday;4;2018;Weekdays
366455;Cần Thơ;Monday;4;2018;Weekdays
366456;Cần Thơ;Monday;4;2018;Weekdays
366458;Cần Thơ;Monday;4;2018;Weekdays
366936;Cần Thơ;Monday;4;2018;Weekdays
