ID;City;Group_size;Age;MPI#Mean;TOM;BUMO;BUMO_Previous;MostFavourite;Gender;MPI#detail;Age#group;Age#Group#2;MPI;MPI#2;Occupation;Occupation#group;Year;Col;MPI_Mean_Use
348226;Cần Thơ;3;29;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
358485;Hà Nội;3;25;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
360729;Cần Thơ;3;25;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
360737;Cần Thơ;3;24;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;20 - 29;20 - 24 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
361753;Cần Thơ;3;26;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Semi-skilled labor (salesperson, waiter, photographer);Blue Collar;2018;3;5499
363279;Cần Thơ;3;33;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
366456;Cần Thơ;3;33;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Semi-skilled labor (salesperson, waiter, photographer);Blue Collar;2018;3;5499
367085;Cần Thơ;3;34;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
367455;Cần Thơ;3;28;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
370956;Hồ Chí Minh;3;29;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
375849;Đà Nẵng;3;28;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
376082;Cần Thơ;3;37;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;30 - 39;35 - 39 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
377074;Cần Thơ;3;29;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
383881;Cần Thơ;3;35;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;30 - 39;35 - 39 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Semi-skilled labor (salesperson, waiter, photographer);Blue Collar;2018;3;5499
389419;Cần Thơ;3;36;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;30 - 39;35 - 39 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
390352;Hồ Chí Minh;3;32;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
391988;Hải Phòng;3;45;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;40 - 60;45+ y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
394547;Hải Phòng;3;48;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;40 - 60;45+ y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
395040;Hà Nội;3;32;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
399751;Hà Nội;3;34;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
411800;Hà Nội;3;26;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Semi-skilled labor (salesperson, waiter, photographer);Blue Collar;2018;3;5499
413830;Hải Phòng;3;25;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
415025;Nha Trang;3;33;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
415529;Cần Thơ;3;55;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;40 - 60;45+ y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
419145;Cần Thơ;3;32;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
419358;Hải Phòng;3;43;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;40 - 60;40 - 44 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
421467;Đà Nẵng;3;50;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;40 - 60;45+ y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
423075;Nha Trang;3;53;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;40 - 60;45+ y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
430294;Hải Phòng;3;32;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
430348;Hải Phòng;3;60;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;40 - 60;45+ y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
433262;Hải Phòng;3;24;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;20 - 29;20 - 24 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
434856;Hải Phòng;3;39;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;30 - 39;35 - 39 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
435053;Hải Phòng;3;46;5499;Other 1;Other 1;;Other 1;Male;From 4.5 millions to 6.49 millions VND;40 - 60;45+ y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
439304;Nha Trang;3;54;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;40 - 60;45+ y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
439569;Cần Thơ;3;33;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;30 - 39;30 - 34 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Skilled Labor (tailor, machinist, carpenter, electrician);Blue Collar;2018;3;5499
442479;Nha Trang;3;21;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;20 - 29;20 - 24 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Semi-skilled labor (salesperson, waiter, photographer);Blue Collar;2018;3;5499
443620;Hải Phòng;3;28;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;20 - 29;25 - 29 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Unskilled Labor (worker, landry person, driver, security guard, cleaner);Blue Collar;2018;3;5499
443726;Hà Nội;3;43;5499;Other 1;Other 1;;Other 1;Female;From 4.5 millions to 6.49 millions VND;40 - 60;40 - 44 y.o.;VND 4.5m - VND 8.9m;2.VND 4.5m - VND 8.9m;Semi-skilled labor (salesperson, waiter, photographer);Blue Collar;2018;3;5499
